Station;Abk.;Stationstyp;Type de station;Tipo di stazione;Station type;Standorttyp;Type de site;Tipo di sito;Site type;Eigentümer;Propriétaire;Proprietario;Owner;Stationshöhe m. ü. M.;KoordinatenE;KoordinatenN;Breitengrad;Längengrad;Kanton;Parameter;Paramètre;Parametro;Parameter
Güttingen;GUT;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;440;2738423;1273962;47.601733;9.279428;TG;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Interlaken;INT;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;577;2633023;1169092;46.672233;7.870194;BE;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
La Chaux-de-Fonds;CDF;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;1017;2550919;1214862;47.082947;6.792314;NE;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Locarno / Monti;OTL;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;Agglomeration;Agglomération;Agglomerazione;Agglomeration;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;367;2704167;1114316;46.172256;8.787494;TI;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Lugano;LUG;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;städtisch, Seeufer;urbain, bord du lac;urbana, riva lacustre;urban, lakeside;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;273;2717874;1095883;46.004217;8.960322;TI;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Luzern;LUZ;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;Agglomeration;Agglomération;Agglomerazione;Agglomeration;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;454;2665545;1209850;47.036439;8.301022;LU;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Magadino / Cadenazzo;MAG;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;203;2715480;1113161;46.160025;8.933672;TI;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
Montana;MVE;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;1423;2601709;1127489;46.298806;7.460814;VS;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Neuchâtel;NEU;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;Agglomeration;Agglomération;Agglomerazione;Agglomeration;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;485;2563087;1205560;47.000067;6.953297;NE;Temperatur, Feuchte, Wind, Strahlung;Température, Humidité, Vent, Rayonnement;Temperatura, Umidità, Vento, Radiazione;Temperature, Humidity, Wind, Radiation
Payerne;PAY;skalierte Beobachtungen;observations redimensionnées;osservazioni ridimensionate;scaled observations;ländlich;rural;rurale;rural;MeteoSchweiz;MétéoSuisse;MeteoSvizzera;MeteoSwiss;490;2562131;1184612;46.811581;6.942469;VD;Temperatur, Feuchte, Wind, Strahlung, Bewölkung;Température, Humidité, Vent, Rayonnement, Nébulosité;Temperatura, Umidità, Vento, Radiazione, Nuvolosità;Temperature, Humidity, Wind, Radiation, Cloud cover
